174
Term TF-IDF
defens 0.0081322605371776
lawyer 0.022472235923349
businessman 0.016502156650606
edmond 0.019468917986244
pope 0.050725144641814
demand 0.013870931974598
mondai 0.012317053060692
prosecutor 0.055957734500753
espionag 0.035476857894511
case 0.0147675498476
dismiss 0.038041726300421
becaus 0.0076667562339875
hi -0.017808201523706
son 0.020563488384014
wa -0.035747482262368
secur 0.0063356756288435
team 0.019542439950604
investig 0.0057497412962548
american 0.0015510403975052
conflict 0.016319692867189
entir 0.01821763359633
evid 0.010157477157448
present 0.01588737435433
trial 0.031517683572628
invalid 0.029037928121812
pavel 0.025480231521776
astakhov 0.096578260992075
state -0.0069960254445977
oleg 0.036237715297073
plotnikov 0.11969540627638
offic 0.005836621928139
feder 0.0080892106996537
servic 0.0072340041958125
brought 0.011987671014451
court 0.022695229145895
law 0.0090943059772769
oblig 0.025480231521776
step 0.010313235374562
urg 0.026625039254326
bias 0.027593592327094
told 0.0059478752794951
report 0.0022676196416674
tri 0.011945567335761
close 0.0060824045375297
charg 0.014920299642068
sought 0.016985392956414
classifi 0.054282104147251
plan 0.018338197355707
speed 0.016595607919984
russian 0.0046920961812297
submarin 0.0087233949362564
torpedo 0.014489499010186
deni 0.013155054258266
rel 0.014049613509483
support 0.0068955713530505
alreadi 0.0095182493694586
sold 0.023299256684392
abroad 0.016885440412093
secret 0.012472390258324
kei 0.014489499010186
accus 0.01157990241691
ha -0.011504203269157
recant 0.028270506325119
statement 0.011348443226462
implic 0.025054323635835
govern 0.0035793222342998
commiss 0.010096336937879
conclud 0.01669060390821
receiv 0.011089686436956
befor 0.0036028608909123
arrest 0.010219274811335
howev 0.011659174383187
anoth 0.0067555387745263
group 0.0057732656031266
expert 0.011386378192159
rule 0.0076556491617136
materi 0.017513022549823
request 0.015182763307822
cite 0.019315652198415
blood 0.019166367793799
pressur 0.014360344666209
differ 0.011199158821845
yuri 0.033907456055072
volgin 0.040221319783049
refus 0.011780170987773
comment 0.014171897408605
alleg 0.014296839860539
decis 0.0077965665017959
concern 0.012115865023154
tuesdai 0.0065222900382328
russia 0.0083749775694953
releas 0.0091714497722892
sai -0.0012792842294936
author 0.005859907341089
fail 0.012202944362353
anyth 0.012706999422233
illeg 0.017854536460575
poor 0.021070719149859
health 0.014171897408605
suffer 0.013259550344951
bone 0.016502156650606
cancer 0.032820401331713
remiss 0.025480231521776
moscow 0.010505894524209
fear 0.012612003434008
mai 0.0061585265303459
return 0.0068758118785836
colleg 0.019315652198415
pa 0.021956642597142
retir 0.011463007679915
navi 0.0031769530049714
founder 0.026440312468116
cerf 0.027593592327094
technolog 0.016885440412093
intern 0.0075181045283135
compani 0.013754824461279
special 0.012336088381213
studi 0.017973038111165
foreign 0.0073459647450758
maritim 0.023938484472382
equip 0.013529418063846
